country,forecast_date,predicted_sales,predicted_sales_lower,predicted_sales_upper
India,2013-01-01,-2166.388727680005,-24606.253765301826,20572.894330473064
India,2014-01-01,1566.8595347820935,-21245.985990136796,25560.33134082679
India,2015-01-01,5300.107801488249,-18506.3592787685,27570.921578216934
India,2016-01-01,9033.3560798884,-14324.497969906428,30840.18636430852
India,2017-01-01,12776.832435659144,-8581.700135012119,34669.339805481766
India,2018-01-01,16510.080716871937,-6079.2289608676065,39487.32498732645
India,2019-01-01,20243.328998768346,-153.61004967772243,43662.138272918455
India,2020-01-01,23976.577279078472,3048.9988953101592,48127.469246296176
India,2021-01-01,27720.053640247206,4951.583131114361,50107.95733202908
India,2022-01-01,31453.301923926414,8830.166303170145,53337.717195117555
India,2023-01-01,35186.550207605615,13019.801260345224,58148.54428233158
India,2023-12-31,38909.57041379528,16084.29084129296,59525.784020673374
India,2024-12-31,42653.04677496402,19510.38843727341,64254.777073311794
India,2025-12-31,46386.29505864324,25304.400517283702,68680.11295819955
India,2026-12-31,50119.543342322424,28345.14981213014,71774.64945507182
India,2027-12-31,53852.79162600164,30904.640592219068,75667.19734433347
India,2028-12-31,57596.267987170366,34510.88096579469,77672.09051171382
India,2029-12-31,61329.516270849585,38551.07779545252,81772.47484173288
Mexico,2011-01-01,-2689.2904,-5836.195699717158,717.5370568631799
Mexico,2012-01-01,-1733.9280910791697,-4790.913472002314,1313.0998358368374
Mexico,2013-01-01,-775.948352899726,-3738.7512531559128,2310.831310817026
Mexico,2014-01-01,179.41395400104307,-2981.91741733695,3467.346230623632
Mexico,2015-01-01,1134.7762594550395,-2014.6524612647872,4361.917505897521
Mexico,2016-01-01,2090.138564100611,-1053.8123613574614,5194.933734642085
Mexico,2017-01-01,3048.1182967043947,2.3352620210426713,6215.814760730057
Mexico,2018-01-01,4003.48060206261,832.7107144797866,6924.831959790431
Mexico,2019-01-01,4958.842904839836,2046.5697459396567,8052.657150480853
Mexico,2020-01-01,5914.20520720641,2685.8962470817337,9015.881790242744
Mexico,2021-01-01,6872.184940811755,3892.5606090559872,10056.340811671802
Mexico,2022-01-01,7827.547243450965,4601.945505451148,11005.515436322214
Mexico,2023-01-01,8782.909546090174,5378.286983892526,12032.38035566836
Mexico,2023-12-31,9735.654417763248,6595.316238935525,12820.833713689077
Mexico,2024-12-31,10693.634151368593,7551.87277796934,13875.935724868892
Mexico,2025-12-31,11648.996454007804,8401.979902694826,14805.806709774786
Mexico,2026-12-31,12604.358756647012,9250.429211866036,15750.018845441067
Mexico,2027-12-31,13559.721059286225,10346.185657746975,16657.834774385705
Mexico,2028-12-31,14517.700792891566,11516.981996893699,17611.319251013865
Mexico,2029-12-31,15473.063095530775,12394.748863200826,18607.94697972449
